"quartet" "cluster" "phylo" "mutual" "shared" "clusterNorm"
"mb49" 0.811379579111458 0.261639548947048 0.718679065096009 0.242674871652808 0.118452525690791 0.117048662388819
"mb50" 0.817401566355541 0.242967351785671 0.749845657355405 0.228941371289406 0.108685974715034 0.094719945518535
"mb51" 0.904974709031086 0.287180877031411 0.802116363414439 0.273484466230854 0.133816783307815 0.147591671246207
"mb52" 0.638252804952873 0.209537541917079 0.00991630458230716 0.161990428436785 0.0880003311158103 0.165390625843584
"mb53" 0.697572147827977 0.233243838180766 0.0607869589373148 0.183514156024838 0.094430200487288 0.17408609708676
"mb54" 0.684521221011365 0.22807832985503 0.0194411620432302 0.180398027136537 0.0825312490198426 0.175090657431372
"mb55" 0.861591263650546 0.225315935966768 0.81046983431325 0.209660294067222 0.103025750853348 0.0730498285630947
"mb56" 0.876836761955651 0.275731530377889 0.802012495691951 0.261887612933825 0.12917874601098 0.133900233780827
"mb57" 0.7891893999961 0.245812945097452 0.583273458086118 0.222206536978275 0.135548653730701 0.130593450588464
"mb58" 0.691141658190008 0.215061485321058 0.187340053297134 0.178762061922784 0.112815563944744 0.150344511971384
"mb59" 0.715173416564443 0.228574714632873 0.280562068408264 0.196456434862704 0.11815177183392 0.152477323113757
"mb60" 0.630413051646105 0.205877346705082 0.0416122696943021 0.157717577863616 0.0878950063210737 0.151494112018985
"mb61" 0.886182902584493 0.247654893070549 0.799948114293881 0.234370200574376 0.115144390407955 0.0996433750528982
"mb62" 0.895983388488742 0.222441922991985 0.854179334028498 0.214787184005997 0.103995311891322 0.0701750842890582
"mb63" 0.964889136942514 0.261895447900919 0.947884511949043 0.259928209556021 0.128946558085065 0.117354673258297
"mb64" 0.786256144890039 0.246992517549912 0.509021341625911 0.218746361783209 0.14991425344343 0.151033440446929
"mb65" 0.637944441700783 0.211017421034225 0 0.164418068369075 0.0828883211193837 0.169855759592821
"mb66" 0.860420032310178 0.211749922566649 0.854076633457319 0.202215078642377 0.10014284729091 0.0573893018655452
"mb67" 0.815027307331605 0.265319069197999 0.72631492050071 0.248967751341642 0.120676348337179 0.120850878308606
"mb68" 0.759567062222267 0.248778255621958 0.385192631715517 0.208650629112911 0.141848634142424 0.153223062722408
"mb69" 0.848808126180389 0.268209029917677 0.7291021627062 0.249852453383301 0.119529179414372 0.124904624882689
"mb70" 0.759529879982588 0.217110795785715 0.712719871283148 0.202615383653406 0.0958142934064606 0.0626154874861464
"mb71" 0.712668101752193 0.239830693699033 0.281358366907814 0.197246217153503 0.135476914072792 0.164998882468394
"mb72" 0.760805210183541 0.252145122425123 0.451405591102528 0.220577611641354 0.128029080522618 0.137024995645627
"mb73" 0.736979716615883 0.249598442796999 0.354183736680598 0.212343041932699 0.13078831397375 0.154147577473577
"mb74" 0.721032863849765 0.203774832909917 0.47040898763467 0.177987590555469 0.11571250124081 0.115463952661739
"mb75" 0.813547756067602 0.220205607185476 0.682576944689931 0.200817136097385 0.121550757159302 0.100420734588096
"mb76" 0.692041129130259 0.215322508105253 0.249745291243578 0.181868795120116 0.120181238871899 0.145068676938585
"mb77" 0.635504341839104 0.201978214914558 0 0.157451710034411 0.0628028734560792 0.151845741457562
"mb78" 0.737860479889887 0.233827400486374 0.335452936379543 0.201227369562608 0.120179335524871 0.148888570397028
"mb79" 0.899186991869919 0.208621679449574 0.885345926287894 0.200622369214039 0.0983558354558163 0.0536484643915787
"mb80" 0.698613417351443 0.232259868321036 0.218803191861338 0.187752054810925 0.119314553854481 0.163522474744715
"mb81" 0.767357683448503 0.24600768554575 0.687409772265435 0.226140306849797 0.108000217678967 0.0983556586128877
"mb82" 0.691875273831713 0.212785790946537 0.364464628014595 0.181969940458953 0.118256363114869 0.12576748186126
