"quartet" "cluster" "phylo" "mutual" "shared"
"mb49" 0.644416609976682 0.0951600433785395 0.0104434704578823 0.167163776323705 0.0866881098238982
"mb50" 0.715734265734266 0.069931694556542 0.270469729079706 0.196278703175834 0.130139229768666
"mb51" 0.712903171560219 0.0742567957732383 0.210010236689025 0.19477868071019 0.110037097827779
"mb52" 0.737272525027809 0.0680102535021333 0.227670731458146 0.20390843074681 0.120717364421679
"mb53" 0.771298126064736 0.0646725957043222 0.354158025911066 0.215840604616883 0.145617303088004
"mb54" 0.906930474190339 0.0335351794559566 0.863138617546876 0.227397494807049 0.11115400912809
"mb55" 0.749864516576239 0.0915007977262847 0.0934772034893094 0.209717202257627 0.10940998937905
"mb56" 0.978621643425147 0.0362476154409896 0.958309750365459 0.249846305524468 0.124788041207394
"mb57" 0.783270749221228 0.0588126170650929 0.374809011935265 0.226215767741124 0.149807273095599
"mb58" 0.785394932935917 0.0364883708782226 0.614570581475989 0.224621299039148 0.105909829526938
"mb59" 0.801402373247033 0.0556476718966886 0.480171588838616 0.217120079843028 0.145548079643962
"mb60" 0.880198699994715 0.0411695918373922 0.749909849841628 0.267963255553755 0.129367142946796
"mb61" 0.656056746881124 0.0680665763102254 0.145574299338028 0.172333677255059 0.100956957172197
"mb62" 0.958384254196951 0.0329372497836212 0.937464625548189 0.225501953295366 0.112382314170083
"mb63" 0.669465362681634 0.0877062766289305 0.0722909533271317 0.186547067403465 0.118926628662562
"mb64" 0.919786910197869 0.0417567803305973 0.791651447125042 0.272141046124096 0.130919218108691
"mb65" 0.758882962932632 0.0584264897074931 0.362701158207375 0.224928418024969 0.153478903197495
"mb66" 0.930381019402835 0.0414468008889476 0.875031946394123 0.281800632641884 0.14009538948371
"mb67" 0.860394701270614 0.0379034699795515 0.757833569499129 0.252429646641201 0.122683333667411
"mb68" 0.765243808692123 0.0653855625099979 0.273444309809517 0.216572544360628 0.137047906263124
"mb69" 0.808371004837814 0.0481650451514099 0.570862854203525 0.231061115376059 0.140024073241092
"mb70" 0.717400181085447 0.0747586646467318 0.186208648526551 0.202105968961465 0.137359186954869
"mb71" 0.952372447460856 0.0331529829533382 0.947392936451757 0.230347996679095 0.115138477779621
"mb72" 0.861063139316418 0.0512312514163548 0.625051379110571 0.243989601575906 0.149675692392649
"mb73" 0.77207665699177 0.0853213546692207 0.197025115615259 0.213900939517045 0.125076963589383
"mb74" 0.810130367180959 0.0321040920573724 0.739589982730739 0.20889507195871 0.0993406303216935
"mb75" 0.827608669904063 0.0302531522210607 0.84208341767826 0.204074915217713 0.101354477454407
"mb76" 0.705529765786676 0.0860838158564813 0.0208972576272526 0.186882648548619 0.0744425671869853
"mb77" 0.796388201042303 0.0580015959951546 0.447977094057554 0.225043152371269 0.14650100740077
"mb78" 0.716589478684242 0.0687985072808222 0.217308143616099 0.200368603720377 0.141819554517451
"mb79" 0.72550207366001 0.0885821982204458 0.0525387063209746 0.195928849996868 0.0776649803418521
"mb80" 0.864201718679331 0.0349947377449874 0.810427782464016 0.233677719227211 0.112770569800012
"mb81" 0.878550309112087 0.0392357505965116 0.802022661884804 0.260994935068331 0.127667721363074
"mb82" 0.772423719055843 0.0340581884076551 0.697797037798452 0.221470877855173 0.104980326625478
"mb83" 0.866180570448209 0.0311448366971197 0.812445224293439 0.206028940459707 0.0996359915399416
"mb84" 0.625421609899222 0.0847002230790362 0.0511579770947726 0.164875134819376 0.0941919655007482
"mb85" 0.882425742574257 0.0324253330529764 0.831543247957545 0.213960299717099 0.104010935419604
"mb86" 0.671092311599264 0.0845356117649476 0.0729178080583868 0.187642592195277 0.117413438718696
"mb87" 0.621481424562414 0.0825570798209233 0.0511143769139152 0.162111547438672 0.0908971597708496
"mb88" 0.773966934195585 0.0415235757747389 0.627661796858248 0.206149269681465 0.127572524968489
"mb89" 0.700118127915657 0.0772288351717978 0.144792064363295 0.197471110171549 0.132214836303304
"mb90" 0.792732140778394 0.0500115883150171 0.494553218324878 0.236393305082345 0.140372814618484
"mb91" 0.6862100456621 0.054442783982632 0.334548588031831 0.185592434293884 0.118378886901791
"mb92" 0.779581702478899 0.0584763122884525 0.478813452596069 0.207590808372506 0.145598014508991
"mb93" 0.742610212889704 0.06890112819208 0.218791189157568 0.190563639975849 0.117115504190822
"mb94" 0.644433442277864 0.0955848375892202 0 0.166613149248315 0.0759849316821355
"mb95" 0.799099509859797 0.0364904786569769 0.663138381682399 0.234855794716066 0.108662922481554
"mb96" 0.845386179306123 0.0531382932445906 0.688557713735016 0.222587007389516 0.157531119300293
"mb97" 0.780888256409167 0.0461756620232095 0.572876059123462 0.22021112459345 0.126814541869796
"mb98" 0.624541044695435 0.0796421319150496 0.0515247542535145 0.158482332847935 0.0864773607639281
"mb99" 0.66064390556714 0.0822028573920622 0.0208913478260392 0.169524251015711 0.0657313260357305
"mb100" 0.754365734251248 0.0586105115701707 0.302259168935165 0.194091942676841 0.120786037679148
"mb101" 0.689049855344847 0.0733717635608086 0.196682655325687 0.181881700473825 0.0955820283516568
"mb102" 0.694654577817332 0.0556543988577369 0.340964810778277 0.188481804844911 0.120864362576356
"mb103" 0.623889368307887 0.0657475429485248 0.124651987843206 0.156541759001335 0.0896557986812506
"ufb1" 0.716854166666667 0.0437429125998157 0.505267008097774 0.211488215603212 0.118225139561116
"ufb2" 0.790924440692275 0.0443523889271398 0.589227112534566 0.212245388642781 0.130459981127786
"ufb3" 0.750699960002286 0.0325950056618874 0.687477170687562 0.208283841724218 0.0982227852561536
"ufb4" 0.771304179566563 0.046236891078976 0.479063410806033 0.21329977066891 0.131143429761211
"ufb5" 0.709623645572867 0.0312832193980979 0.666580698221419 0.200471580096675 0.093004798584742
"ufb6" 0.606231042459597 0.0779770595989883 0.0416271977399913 0.153046001975876 0.0761854435304434
"ufb7" 0.636629057953167 0.0827504163055392 0.0520858817995224 0.171053631487405 0.0876079995246827
"ufb8" 0.813862797718886 0.0456968211840204 0.575252288819543 0.215538637046695 0.133648757519953
"ufb9" 0.790512267101264 0.0562541124328287 0.437486741636556 0.216666946806758 0.135920762528819
"ufb10" 0.725025788518901 0.0641087956915356 0.249900567192402 0.189437198091683 0.117081723882231
"ufb11" 0.758680084347663 0.0482579967401108 0.527595931964698 0.197784099412704 0.134130841975505
"ufb12" 0.682183290114477 0.0666095965398842 0.16524688715533 0.180784036946075 0.101082412343451
"ufb13" 0.707369984106913 0.050508477066846 0.442067283650371 0.195885416688519 0.12705385046731
"ufb14" 0.756168785379087 0.0767479652711277 0.19993044953443 0.201370056499476 0.118640331291758
"ufb15" 0.72321280523529 0.0472166458443752 0.438624882991389 0.182222267933371 0.120502596506306
"ufb16" 0.722031035352827 0.0655938796456544 0.250313203054181 0.188498869211478 0.120597356592787
"ufb17" 0.675766967301598 0.0649032653055198 0.156070619344715 0.176037867608423 0.0954929527883149
"ufb18" 0.882114644520964 0.0442947710466911 0.760260050608691 0.219530454456852 0.133420199288232
"ufb19" 0.744705167525027 0.0630445885224557 0.301047823364711 0.193105609794662 0.130561472395556
"ufb20" 0.706566543962908 0.0595118658802079 0.258746677149197 0.196316909974416 0.122933252482753
"ufb21" 0.751341838737752 0.0747973134464458 0.19993044953443 0.198621396674798 0.115642274997352
"ufb22" 0.753948752650836 0.0869165739758436 0.124097186768707 0.208944154573293 0.107377653740685
"ufb23" 0.642553443259763 0.0781970840650194 0.0722133919683974 0.172381954177504 0.102899363145794
"ufb24" 0.753384502357245 0.0868513923558747 0.12477709745904 0.207136361603679 0.113451785464441
"ufb25" 0.800319253953918 0.0444047623250202 0.591670468347262 0.213813250146929 0.130628261788813
"ufb26" 0.7900237611488 0.0498404275717496 0.510274535529853 0.235038238152848 0.145865630294365
"ufb27" 0.610463324059244 0.0771866521726316 0.0416587650045537 0.150286594672495 0.0799313627440068
"ufb28" 0.687171889218134 0.0740041920043857 0.146214443539035 0.188044699553374 0.118041776098719
"ufb29" 0.59615430473516 0.0746127981763553 0.0519276037781502 0.149353131664438 0.0758314697757615
"ufb30" 0.720374822602663 0.0864356900464404 0.0525387063209746 0.191793473635247 0.0753731108735438
"ufb31" 0.899897418362113 0.0441205555575554 0.820209028820695 0.225249732584431 0.145144391064751
"ufb32" 0.689781879553077 0.0485201362858455 0.357709149169225 0.19015240435688 0.11161600544799
"ufb33" 0.651193947513594 0.0228001750287506 0.715745445230641 0.148058422019287 0.0682311874128307
"ufb34" 0.765423365487674 0.0494633399428675 0.506470600716605 0.200560020058197 0.136135038369496
"ufb35" 0.764898761059498 0.058507081485545 0.368755959410101 0.19956095803105 0.126495275411121
"ufb36" 0.629336093936817 0.0911990878859738 0 0.160383911173622 0.0748449095669392
"ufb37" 0.68370919019821 0.0782381509956964 0.13588291034336 0.188330340952261 0.12484775484452
"ufb38" 0.747269698278522 0.0357728952807661 0.603993976120735 0.221250919176445 0.105584314832244
"ufb39" 0.630225994556703 0.0681332155392911 0.113663919561779 0.165034969585122 0.103755574348738
"ufb40" 0.735423762772991 0.0472927882662685 0.410471886781112 0.215307159734215 0.127381268902151
"ufb41" 0.687939966160466 0.0626474583095075 0.312919663461262 0.184461910847365 0.125823900987413
"ufb42" 0.789812625710152 0.0477619155554252 0.531121487650837 0.229265061490109 0.143352676982907
"ufb43" 0.635330986557401 0.093309564662798 0 0.161853721309252 0.0726915617146702
"ufb44" 0.795274559853394 0.0407858715615843 0.612729580495905 0.193833883386028 0.120628121275999
"ufb45" 0.795605334034027 0.0503449075919987 0.59127581246287 0.205135892929024 0.142265017079993
"ufb46" 0.710419814375135 0.0606632305208667 0.227410793443073 0.196999279773147 0.131972306704025
